Set,No,Pool,Sub-Pool,#s,Count,Name,Reprint,Sub-Pool: Resource,Sub-Pool: Cost,Sub-Pool: Card Type,Duplicate Calc,Summary,
Core,23,Hero,She-Hulk,5-6,2,Legal Practice,,Hero: She-HulkPhysical,Hero: She-Hulk0,Hero: She-HulkEvent,Core,CoreHero,Core2
Core,24,Hero,She-Hulk,7-9,3,One-Two Punch,,Hero: She-HulkPhysical,Hero: She-Hulk1,Hero: She-HulkEvent,Core,CoreHero,Core3
Core,25,Hero,She-Hulk,10,1,Split Personality,,Hero: She-HulkEnergy,Hero: She-Hulk3,Hero: She-HulkEvent,Core,CoreHero,Core1
Core,26,Hero,She-Hulk,11,1,Superhuman Law Division,,Hero: She-HulkPhysical,Hero: She-Hulk1,Hero: She-HulkSupport,Core,CoreHero,Core1
Core,27,Hero,She-Hulk,12-13,2,Focused Rage,,Hero: She-HulkEnergy,Hero: She-Hulk3,Hero: She-HulkUpgrade,Core,CoreHero,Core2
Core,28,Hero,She-Hulk,14-15,2,Superhuman Strength,,Hero: She-HulkMental,Hero: She-Hulk2,Hero: She-HulkUpgrade,Core,CoreHero,Core2
Core,29A,Hero,Iron Man,-,1,Iron Man,,Hero: Iron Man-,Hero: Iron Man-,Hero: Iron Man Hero,Core,CoreHero,Core1
Core,29B,Hero,Iron Man,-,-,Tony Stark,,Hero: Iron Man-,Hero: Iron Man-,Hero: Iron Man Alter-Ego,Core,CoreHero,Core-
Core,30,Hero,Iron Man,1,1,War Machine / James Rhodes (H),,Hero: Iron ManWild,Hero: Iron Man4,Hero: Iron ManAlly,Core,CoreHero,Core1
Core,31,Hero,Iron Man,2-4,3,Repulsor Blast,,Hero: Iron ManPhysical,Hero: Iron Man1,Hero: Iron ManEvent,Core,CoreHero,Core3
Core,32,Hero,Iron Man,5-6,2,Supersonic Punch,,Hero: Iron ManEnergy,Hero: Iron Man2,Hero: Iron ManEvent,Core,CoreHero,Core2
Core,33,Hero,Iron Man,7,1,Pepper Potts,,Hero: Iron ManPhysical,Hero: Iron Man3,Hero: Iron ManSupport,Core,CoreHero,Core1
Core,34,Hero,Iron Man,8,1,Stark Tower,,Hero: Iron ManMental,Hero: Iron Man2,Hero: Iron ManSupport,Core,CoreHero,Core1
Core,35,Hero,Iron Man,9,1,Arc Reactor,,Hero: Iron ManEnergy,Hero: Iron Man2,Hero: Iron ManUpgrade,Core,CoreHero,Core1
Core,36,Hero,Iron Man,10,1,Mark V Armor,,Hero: Iron ManMental,Hero: Iron Man3,Hero: Iron ManUpgrade,Core,CoreHero,Core1
Core,37,Hero,Iron Man,11,1,Mark V Helmet,,Hero: Iron ManPhysical,Hero: Iron Man1,Hero: Iron ManUpgrade,Core,CoreHero,Core1
Core,38,Hero,Iron Man,12-13,2,Powered Gauntlets,,Hero: Iron ManEnergy,Hero: Iron Man2,Hero: Iron ManUpgrade,Core,CoreHero,Core2
Core,39,Hero,Iron Man,14-15,2,Rocket Boots,,Hero: Iron ManMental,Hero: Iron Man1,Hero: Iron ManUpgrade,Core,CoreHero,Core2
Core,40A,Hero,Black Panther,-,1,Black Panther,,Hero: Black Panther-,Hero: Black Panther-,Hero: Black Panther Hero,Core,CoreHero,Core1
Core,40B,Hero,Black Panther,-,-,T'Challa,,Hero: Black Panther-,Hero: Black Panther-,Hero: Black Panther Alter-Ego,Core,CoreHero,Core-
Core,41,Hero,Black Panther,1,1,Shuri,,Hero: Black PantherPhysical,Hero: Black Panther2,Hero: Black PantherAlly,Core,CoreHero,Core1
Core,42,Hero,Black Panther,2,1,Ancestral Knowledge,,Hero: Black PantherMental,Hero: Black Panther1,Hero: Black PantherEvent,Core,CoreHero,Core1
Core,43A,Hero,Black Panther,3,1,Wakanda Forever! (A),,Hero: Black PantherEnergy,Hero: Black Panther1,Hero: Black PantherEvent,Core,CoreHero,Core1
Core,43B,Hero,Black Panther,4,1,Wakanda Forever! (B),,Hero: Black PantherMental,Hero: Black Panther1,Hero: Black PantherEvent,Core,CoreHero,Core1
Core,43C,Hero,Black Panther,5,1,Wakanda Forever! (C),,Hero: Black PantherPhysical,Hero: Black Panther1,Hero: Black PantherEvent,Core,CoreHero,Core1
Core,43D,Hero,Black Panther,6-7,2,Wakanda Forever! (D),,Hero: Black PantherWild,Hero: Black Panther1,Hero: Black PantherEvent,Core,CoreHero,Core2
Core,44,Hero,Black Panther,8-10,3,Vibranium,,Hero: Black PantherWild,Hero: Black Panther-,Hero: Black PantherResource,Core,CoreHero,Core3
Core,45,Hero,Black Panther,11,1,The Golden City,,Hero: Black PantherEnergy,Hero: Black Panther2,Hero: Black PantherSupport,Core,CoreHero,Core1
Core,46,Hero,Black Panther,12,1,Energy Daggers,,Hero: Black PantherMental,Hero: Black Panther2,Hero: Black PantherUpgrade,Core,CoreHero,Core1
Core,47,Hero,Black Panther,13,1,Panther Claws,,Hero: Black PantherEnergy,Hero: Black Panther2,Hero: Black PantherUpgrade,Core,CoreHero,Core1
Core,48,Hero,Black Panther,14,1,Tactical Genius,,Hero: Black PantherPhysical,Hero: Black Panther2,Hero: Black PantherUpgrade,Core,CoreHero,Core1
Core,49,Hero,Black Panther,15,1,Vibranium Suit,,Hero: Black PantherMental,Hero: Black Panther2,Hero: Black PantherUpgrade,Core,CoreHero,Core1
Core,50,Aspect,Aggression,-,1,Hulk / Bruce Banner,,Aspect: AggressionEnergy,Aspect: Aggression2,Aspect: AggressionAlly,Core,CoreAspect: Aggression,Core1
Core,51,Aspect,Aggression,-,1,Tigra / Greer Nelson,,Aspect: AggressionWild,Aspect: Aggression3,Aspect: AggressionAlly,Core,CoreAspect: Aggression,Core1
Core,52,Aspect,Aggression,-,3,Chase Them Down,,Aspect: AggressionMental,Aspect: Aggression0,Aspect: AggressionEvent,Core,CoreAspect: Aggression,Core3
Core,53,Aspect,Aggression,-,3,Relentless Assault,,Aspect: AggressionEnergy,Aspect: Aggression2,Aspect: AggressionEvent,Core,CoreAspect: Aggression,Core3
Core,54,Aspect,Aggression,-,3,Uppercut,,Aspect: AggressionPhysical,Aspect: Aggression3,Aspect: AggressionEvent,Core,CoreAspect: Aggression,Core3
Core,55,Aspect,Aggression,-,2,The Power of Aggression,,Aspect: AggressionWild,Aspect: Aggression-,Aspect: AggressionResource,Core,CoreAspect: Aggression,Core2
Core,56,Aspect,Aggression,-,3,Tac Team,,Aspect: AggressionEnergy,Aspect: Aggression3,Aspect: AggressionSupport,Core,CoreAspect: Aggression,Core3
Core,57,Aspect,Aggression,-,3,Combat Training,,Aspect: AggressionPhysical,Aspect: Aggression2,Aspect: AggressionUpgrade,Core,CoreAspect: Aggression,Core3
Core,58,Aspect,Justice,-,1,Daredevil / Matt Murdock,,Aspect: JusticePhysical,Aspect: Justice4,Aspect: JusticeAlly,Core,CoreAspect: Justice,Core1
Core,59,Aspect,Justice,-,1,Jessica Jones,,Aspect: JusticeEnergy,Aspect: Justice3,Aspect: JusticeAlly,Core,CoreAspect: Justice,Core1
Core,60,Aspect,Justice,-,3,For Justice!,,Aspect: JusticeEnergy,Aspect: Justice2,Aspect: JusticeEvent,Core,CoreAspect: Justice,Core3
Core,61,Aspect,Justice,-,3,Great Responsibility,,Aspect: JusticeMental,Aspect: Justice0,Aspect: JusticeEvent,Core,CoreAspect: Justice,Core3
Core,62,Aspect,Justice,-,2,The Power of Justice,,Aspect: JusticeWild,Aspect: Justice-,Aspect: JusticeResource,Core,CoreAspect: Justice,Core2
Core,63,Aspect,Justice,-,3,Interrogation Room,,Aspect: JusticeEnergy,Aspect: Justice1,Aspect: JusticeSupport,Core,CoreAspect: Justice,Core3
Core,64,Aspect,Justice,-,3,Surveillance Team,,Aspect: JusticeMental,Aspect: Justice2,Aspect: JusticeSupport,Core,CoreAspect: Justice,Core3
Core,65,Aspect,Justice,-,3,Heroic Intuition,,Aspect: JusticeEnergy,Aspect: Justice2,Aspect: JusticeUpgrade,Core,CoreAspect: Justice,Core3
Core,66,Aspect,Leadership,-,1,Hawkeye / Clint Barton,,Aspect: LeadershipEnergy,Aspect: Leadership3,Aspect: LeadershipAlly,Core,CoreAspect: Leadership,Core1
Core,67,Aspect,Leadership,-,1,Maria Hill,,Aspect: LeadershipMental,Aspect: Leadership2,Aspect: LeadershipAlly,Core,CoreAspect: Leadership,Core1
Core,68,Aspect,Leadership,-,1,Vision,,Aspect: LeadershipPhysical,Aspect: Leadership4,Aspect: LeadershipAlly,Core,CoreAspect: Leadership,Core1
Core,69,Aspect,Leadership,-,3,Get Ready,,Aspect: LeadershipPhysical,Aspect: Leadership0,Aspect: LeadershipEvent,Core,CoreAspect: Leadership,Core3
Core,70,Aspect,Leadership,-,3,Lead from the Front,,Aspect: LeadershipEnergy,Aspect: Leadership2,Aspect: LeadershipEvent,Core,CoreAspect: Leadership,Core3
Core,71,Aspect,Leadership,-,3,Make the Call,,Aspect: LeadershipMental,Aspect: Leadership0,Aspect: LeadershipEvent,Core,CoreAspect: Leadership,Core3
Core,72,Aspect,Leadership,-,2,The Power of Leadership,,Aspect: LeadershipWild,Aspect: Leadership-,Aspect: LeadershipResource,Core,CoreAspect: Leadership,Core2
Core,73,Aspect,Leadership,-,1,The Triskelion,,Aspect: LeadershipEnergy,Aspect: Leadership1,Aspect: LeadershipSupport,Core,CoreAspect: Leadership,Core1
Core,74,Aspect,Leadership,-,3,Inspired,,Aspect: LeadershipPhysical,Aspect: Leadership1,Aspect: LeadershipUpgrade,Core,CoreAspect: Leadership,Core3
Core,75,Aspect,Protection,-,1,Black Widow / Natasha Romanoff,,Aspect: ProtectionPhysical,Aspect: Protection3,Aspect: ProtectionAlly,Core,CoreAspect: Protection,Core1
Core,76,Aspect,Protection,-,1,Luke Cage,,Aspect: ProtectionEnergy,Aspect: Protection4,Aspect: ProtectionAlly,Core,CoreAspect: Protection,Core1
Core,77,Aspect,Protection,-,3,Counter-punch,,Aspect: ProtectionPhysical,Aspect: Protection0,Aspect: ProtectionEvent,Core,CoreAspect: Protection,Core3
Core,78,Aspect,Protection,-,3,Get Behind Me!,,Aspect: ProtectionMental,Aspect: Protection1,Aspect: ProtectionEvent,Core,CoreAspect: Protection,Core3
Core,79,Aspect,Protection,-,2,The Power of Protection,,Aspect: ProtectionWild,Aspect: Protection-,Aspect: ProtectionResource,Core,CoreAspect: Protection,Core2
Core,80,Aspect,Protection,-,3,Med Team,,Aspect: ProtectionEnergy,Aspect: Protection3,Aspect: ProtectionSupport,Core,CoreAspect: Protection,Core3
Core,81,Aspect,Protection,-,3,Armored Vest,,Aspect: ProtectionMental,Aspect: Protection1,Aspect: ProtectionUpgrade,Core,CoreAspect: Protection,Core3
Core,82,Aspect,Protection,-,3,Indomitable,,Aspect: ProtectionEnergy,Aspect: Protection1,Aspect: ProtectionUpgrade,Core,CoreAspect: Protection,Core3
Core,83,Basic,,-,4,Mockingbird / Bobbi Morse,,Basic: Physical,Basic: 3,Basic: Ally,Core,CoreBasic,Core4
Core,84,Basic,,-,4,Nick Fury,,Basic: Mental,Basic: 4,Basic: Ally,Core,CoreBasic,Core4
Core,85,Basic,,-,4,Emergency,,Basic: Energy,Basic: 0,Basic: Event,Core,CoreBasic,Core4
Core,86,Basic,,-,4,First Aid,,Basic: Mental,Basic: 1,Basic: Event,Core,CoreBasic,Core4
Core,87,Basic,,-,4,Haymaker,,Basic: Energy,Basic: 2,Basic: Event,Core,CoreBasic,Core4
Core,88,Basic,,-,4,Energy,,Basic: Energy,Basic: -,Basic: Resource,Core,CoreBasic,Core4
Core,89,Basic,,-,4,Genius,,Basic: Mental,Basic: -,Basic: Resource,Core,CoreBasic,Core4
Core,90,Basic,,-,4,Strength,,Basic: Physical,Basic: -,Basic: Resource,Core,CoreBasic,Core4
Core,91,Basic,,-,4,Avengers Mansion,,Basic: Mental,Basic: 4,Basic: Support,Core,CoreBasic,Core4
Core,92,Basic,,-,4,Helicarrier,,Basic: Physical,Basic: 3,Basic: Support,Core,CoreBasic,Core4
Core,93,Basic,,-,4,Tenacity,,Basic: Energy,Basic: 1,Basic: Upgrade,Core,CoreBasic,Core4
Core,94,Scenario,Rhino,1,1,Rhino I,,Scenario: Rhino-,Scenario: Rhino-,Scenario: Rhino  Villain,Core,CoreScenario,Core1
Core,95,Scenario,Rhino,2,1,Rhino II,,Scenario: Rhino-,Scenario: Rhino-,Scenario: Rhino  Villain,Core,CoreScenario,Core1
Core,96,Scenario,Rhino,3,1,Rhino III,,Scenario: Rhino-,Scenario: Rhino-,Scenario: Rhino  Villain,Core,CoreScenario,Core1
Core,97,Scenario,Rhino,4,1,The Break In (1),,Scenario: Rhino-,Scenario: Rhino0,Scenario: Rhino Main Scheme,Core,CoreScenario,Core1
Core,98,Scenario,Rhino,5,1,Armored Rhino Suit,,Scenario: Rhino0,Scenario: Rhino-,Scenario: RhinoAttachment,Core,CoreScenario,Core1
Core,99,Scenario,Rhino,6-7,2,Charge,,Scenario: Rhino2,Scenario: Rhino-,Scenario: RhinoAttachment,Core,CoreScenario,Core2
Core,100,Scenario,Rhino,8,1,Enhanced Ivory Horn,,Scenario: Rhino2,Scenario: Rhino-,Scenario: RhinoAttachment,Core,CoreScenario,Core1
Core,101,Scenario,Rhino,9-10,2,Hydra Mercenary,,Scenario: Rhino1,Scenario: Rhino-,Scenario: RhinoMinion,Core,CoreScenario,Core2
Core,102,Scenario,Rhino,11,1,Sandman,,Scenario: Rhino2,Scenario: Rhino-,Scenario: RhinoMinion,Core,CoreScenario,Core1
Core,103,Scenario,Rhino,12,1,Shocker,,Scenario: Rhino2,Scenario: Rhino-,Scenario: RhinoMinion,Core,CoreScenario,Core1
Core,104,Scenario,Rhino,13-14,2,Hard to Keep Down,,Scenario: Rhino0,Scenario: Rhino-,Scenario: RhinoTreachery,Core,CoreScenario,Core2
Core,105,Scenario,Rhino,15-16,2,"""I'm Tough!""",,Scenario: Rhino0,Scenario: Rhino-,Scenario: RhinoTreachery,Core,CoreScenario,Core2
Core,106,Scenario,Rhino,17-19,3,Stampede,,Scenario: Rhino0,Scenario: Rhino-,Scenario: RhinoTreachery,Core,CoreScenario,Core3
Core,107,Scenario,Rhino,20,1,Breakin' & Takin',,Scenario: Rhino0,Scenario: Rhino2+1P,Scenario: RhinoSide-Scheme,Core,CoreScenario,Core1
Core,108,Scenario,Rhino,21,1,Crowd Control,,Scenario: Rhino2,Scenario: Rhino2P,Scenario: RhinoSide-Scheme,Core,CoreScenario,Core1
Core,109,Module,Bomb Scare,1,1,Bomb Scare,,Module: Bomb Scare0,Module: Bomb Scare2+1P,Module: Bomb ScareSide-Scheme,Core,CoreModule,Core1
Core,110,Module,Bomb Scare,2-3,2,Hydra Bomber,,Module: Bomb Scare1,Module: Bomb Scare-,Module: Bomb ScareMinion,Core,CoreModule,Core2
Core,111,Module,Bomb Scare,4,1,Explosion,,Module: Bomb Scare2,Module: Bomb Scare-,Module: Bomb ScareTreachery,Core,CoreModule,Core1
Core,112,Module,Bomb Scare,5-6,2,False Alarm,,Module: Bomb Scare1,Module: Bomb Scare-,Module: Bomb ScareTreachery,Core,CoreModule,Core2
Core,113,Scenario,Klaw,1,1,Klaw I,,Scenario: Klaw-,Scenario: Klaw-,Scenario: Klaw  Villain,Core,CoreScenario,Core1
Core,114,Scenario,Klaw,2,1,Klaw II,,Scenario: Klaw-,Scenario: Klaw-,Scenario: Klaw  Villain,Core,CoreScenario,Core1
Core,115,Scenario,Klaw,3,1,Klaw III,,Scenario: Klaw-,Scenario: Klaw-,Scenario: Klaw  Villain,Core,CoreScenario,Core1
Core,116,Scenario,Klaw,4,1,Underground Distribution (1),,Scenario: Klaw-,Scenario: Klaw0,Scenario: Klaw Main Scheme,Core,CoreScenario,Core1
Core,117,Scenario,Klaw,5,1,Secret Rendezvous (2),,Scenario: Klaw-,Scenario: Klaw0,Scenario: Klaw Main Scheme,Core,CoreScenario,Core1
Core,118,Scenario,Klaw,6,1,Sonic Convertor,,Scenario: Klaw3,Scenario: Klaw-,Scenario: KlawAttachment,Core,CoreScenario,Core1
Core,119,Scenario,Klaw,7,1,Solid Sound Body,,Scenario: Klaw3,Scenario: Klaw-,Scenario: KlawAttachment,Core,CoreScenario,Core1
Core,120,Scenario,Klaw,8-10,3,Armored Guard,,Scenario: Klaw1,Scenario: Klaw-,Scenario: KlawMinion,Core,CoreScenario,Core3
Core,121,Scenario,Klaw,11-12,2,Weapons Runner,,Scenario: Klaw☆,Scenario: Klaw-,Scenario: KlawMinion,Core,CoreScenario,Core2
Core,122,Scenario,Klaw,13-14,2,Klaw's Vengeance,,Scenario: Klaw1,Scenario: Klaw-,Scenario: KlawTreachery,Core,CoreScenario,Core2
Core,123,Scenario,Klaw,15-16,2,Sonic Boom,,Scenario: Klaw☆,Scenario: Klaw-,Scenario: KlawTreachery,Core,CoreScenario,Core2
Core,124,Scenario,Klaw,17-18,2,Sound Manipulation,,Scenario: Klaw2,Scenario: Klaw-,Scenario: KlawTreachery,Core,CoreScenario,Core2
Core,125,Scenario,Klaw,19,1,Defense Network,,Scenario: Klaw2,Scenario: Klaw2+1P,Scenario: KlawSide-Scheme,Core,CoreScenario,Core1
Core,126,Scenario,Klaw,20,1,Illegal Arms Factory,,Scenario: Klaw2,Scenario: Klaw3+1P,Scenario: KlawSide-Scheme,Core,CoreScenario,Core1
Core,127,Scenario,Klaw,21,1,"The ""Immortal"" Klaw",,Scenario: Klaw0,Scenario: Klaw3P,Scenario: KlawSide-Scheme,Core,CoreScenario,Core1
Core,128,Module,Masters of Evil,1,1,The Masters of Evil,,Module: Masters of Evil2,Module: Masters of Evil3P,Module: Masters of EvilSide-Scheme,Core,CoreModule,Core1
Core,129,Module,Masters of Evil,2,1,Radioactive Man,,Module: Masters of Evil☆,Module: Masters of Evil-,Module: Masters of EvilMinion,Core,CoreModule,Core1
Core,130,Module,Masters of Evil,3,1,Whirlwind,,Module: Masters of Evil☆,Module: Masters of Evil-,Module: Masters of EvilMinion,Core,CoreModule,Core1
Core,131,Module,Masters of Evil,4,1,Tiger Shark,,Module: Masters of Evil☆,Module: Masters of Evil-,Module: Masters of EvilMinion,Core,CoreModule,Core1
Core,132,Module,Masters of Evil,5,1,Melter,,Module: Masters of Evil☆,Module: Masters of Evil-,Module: Masters of EvilMinion,Core,CoreModule,Core1
Core,133,Module,Masters of Evil,6-7,2,Masters of Mayhem,,Module: Masters of Evil2,Module: Masters of Evil-,Module: Masters of EvilTreachery,Core,CoreModule,Core2
Core,134,Scenario,Ultron,1,1,Ultron I,,Scenario: Ultron-,Scenario: Ultron-,Scenario: Ultron  Villain,Core,CoreScenario,Core1
Core,135,Scenario,Ultron,2,1,Ultron II,,Scenario: Ultron-,Scenario: Ultron-,Scenario: Ultron  Villain,Core,CoreScenario,Core1
Core,136,Scenario,Ultron,3,1,Ultron III,,Scenario: Ultron-,Scenario: Ultron-,Scenario: Ultron  Villain,Core,CoreScenario,Core1
Core,137,Scenario,Ultron,4,1,The Crimson Cowl (1),,Scenario: Ultron-,Scenario: Ultron0,Scenario: Ultron Main Scheme,Core,CoreScenario,Core1
Core,138,Scenario,Ultron,5,1,Assault on NORAD (2),,Scenario: Ultron-,Scenario: Ultron0,Scenario: Ultron Main Scheme,Core,CoreScenario,Core1
Core,139,Scenario,Ultron,6,1,Countdown to Oblivion (3),,Scenario: Ultron-,Scenario: Ultron0,Scenario: Ultron Main Scheme,Core,CoreScenario,Core1
Core,140,Scenario,Ultron,7,1,Ultron Drones,,Scenario: Ultron-,Scenario: Ultron-,Scenario: UltronEnvironment (S),Core,CoreScenario,Core1
Core,141,Scenario,Ultron,8,1,Program Transmitter,,Scenario: Ultron1,Scenario: Ultron-,Scenario: UltronAttachment,Core,CoreScenario,Core1
Core,142,Scenario,Ultron,9-10,2,Upgraded Drones,,Scenario: Ultron0,Scenario: Ultron-,Scenario: UltronAttachment,Core,CoreScenario,Core2
Core,143,Scenario,Ultron,11-13,3,Advanced Ultron Drone,,Scenario: Ultron2,Scenario: Ultron-,Scenario: UltronMinion,Core,CoreScenario,Core3
Core,144A,Scenario,Ultron,14,1,Android Efficiency (A),,Scenario: Ultron☆,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core1
Core,144B,Scenario,Ultron,15,1,Android Efficiency (B),,Scenario: Ultron☆,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core1
Core,144C,Scenario,Ultron,16,1,Android Efficiency (C),,Scenario: Ultron☆,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core1
Core,145,Scenario,Ultron,17-18,2,Rage of Ultron,,Scenario: Ultron1,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core2
Core,146,Scenario,Ultron,19-20,2,Repair Sequence,,Scenario: Ultron1☆,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core2
Core,147,Scenario,Ultron,21-22,2,Swarm Attack,,Scenario: Ultron1,Scenario: Ultron-,Scenario: UltronTreachery,Core,CoreScenario,Core2
Core,148,Scenario,Ultron,23,1,Drone Factory,,Scenario: Ultron0,Scenario: Ultron4,Scenario: UltronSide-Scheme,Core,CoreScenario,Core1
Core,149,Scenario,Ultron,24,1,Invasive AI,,Scenario: Ultron3,Scenario: Ultron3P,Scenario: UltronSide-Scheme,Core,CoreScenario,Core1
Core,150,Scenario,Ultron,25,1,Ultron's Imperative,,Scenario: Ultron3,Scenario: Ultron2P,Scenario: UltronSide-Scheme,Core,CoreScenario,Core1
Core,151,Module,Under Attack,1,1,Under Attack,,Module: Under Attack3,Module: Under Attack3,Module: Under AttackSide-Scheme,Core,CoreModule,Core1
Core,152,Module,Under Attack,2,1,Vibranium Armor,,Module: Under Attack1,Module: Under Attack-,Module: Under AttackAttachment,Core,CoreModule,Core1
Core,153,Module,Under Attack,3,1,Concussion Blasters,,Module: Under Attack1,Module: Under Attack-,Module: Under AttackAttachment,Core,CoreModule,Core1
Core,154,Module,Under Attack,4-5,2,Concussive Blast,,Module: Under Attack☆,Module: Under Attack-,Module: Under AttackTreachery,Core,CoreModule,Core2
Core,155,Obligation,Black Panther,-,1,Affairs of State,,Obligation: Black Panther2,Obligation: Black Panther-,Obligation: Black PantherObligation,Core,CoreObligation,Core1
Core,156,Nemesis,Black Panther,1,1,Usurp the Throne,,Nemesis: Black Panther3,Nemesis: Black Panther3P,Nemesis: Black PantherSide-Scheme (S),Core,CoreNemesis,Core1
Core,157,Nemesis,Black Panther,2,1,Killmonger,,Nemesis: Black Panther2,Nemesis: Black Panther-,Nemesis: Black PantherMinion (S),Core,CoreNemesis,Core1
Core,158,Nemesis,Black Panther,3,1,Heart-shaped Herb,,Nemesis: Black Panther☆,Nemesis: Black Panther-,Nemesis: Black PantherTreachery,Core,CoreNemesis,Core1
Core,159,Nemesis,Black Panther,4-5,2,Ritual Combat,,Nemesis: Black Panther2,Nemesis: Black Panther-,Nemesis: Black PantherTreachery,Core,CoreNemesis,Core2
